id,video_id,scenario_num,group,ego_car,target_car,num_target_ped,video_length,min_dur,max_dur,criticality,events,events_description,description
10,video_10,10,0,0,0,0,35000,34000,36000,1,"[1000,6033,24300,24300,28283,28283]","[target_cars_passing_by-start,ego_car_turns_on_indicator-start,target_cars_passing_by-finish,ego_car_lane_change-start,ego_car_turns_on_indicator-finish,ego_car_lane_change-finish]",The ego car’s changing lane is prevented by a platoon of AVs
11,video_11,11,0,0,0,0,31000,30000,32000,0,"[1000,11116]","[ego_car_approaches-start,ego_car_approaches-finish]",The target car drives slowly in front of the ego car
12,video_12,12,0,0,0,0,26000,25000,27000,0,"[8116,11750,16166,16166]","[target_car_turns_indicator_on-start,target_car_changes_lane3_to_lane2-start,target_car_changes_lane3_to_lane2-finish,target_car_turns_indicator_on-finish]",The target car changes lanes to let the ego car behind overtake
13,video_13,13,0,0,0,0,31000,30000,32000,0,"[10333,11500,14083,16250,18750,,"[target_car_turns_indicator_on-start,target_car_changes_lane2_to_lane3-start,target_car_turns_indicator_on-finish,target_car_changes_lane2_to_lane3-finish,target_car_goes_back_to_lane2-start,target_car_goes_back_to_lane2-finish]",The target car attempts to move from the centre to the left lane but goes back to the centre lane so as not to block an ego car behind
14,video_14,14,0,0,0,0,43000,42000,44000,0,"[14766,16300,22250,27016,28000,28000]","[ego_car_indicator_on-start,target_car_deceleration-start,ego_car_merge_lane-start,ego_car_indicator_on-finish,ego_car_merge_lane-finish,target_car_deceleration-finish]",The platoon of AVs lower the speed to let the ego car change lane
15,video_15,15,0,0,0,1,23000,22000,24000,1,"[1000,3100,4416,5750,7000,7750,13866,15250,24000,24000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,ego_car_brakes-start,target_car_brakes-finish,ego_car_brakes-finish,pedestrian_crosses_the_road-finish,target_car_starts-start,ego_car_starts-start,target_car_starts-finish,ego_car_starts-finish]",The target car is waiting for pedestrians to cross the road
16,video_16,16,0,0,0,0,24000,23000,25000,0,[],[],the target car follows its front car with a too large gap
17,video_17,17,0,0,0,0,36000,35000,37000,0,"[1000,1000,12000,18550,18550,18550,22250,25250,35000,36000]","[ego_car_approaches_intersection-start,traffic_lights_in_red-start,ego_car_approaches_intersection-finish,traffic_lights_in_red-finish,traffic_lights_in_green-start,target_car_passes_intersection-start,ego_car_pass_intersection-start,target_car_passes_intersection-finish,ego_car_pass_intersection-finish,traffic_lights_in_green-finish]",The target car passes the intersection exactly at the time when the light changes without deceleration
18,video_18,18,0,0,0,0,29000,28000,30000,0,"[8000,10333,11066,13500,15700,17500,17500,19666]","[target_car_indicator_on-start,ego_car_decelerates-start,ego_car_decelerates-finish,change_lane2_to_lane3-start,target_car_indicator_on-finish,change_lane2_to_lane3-finish,change_lane3_to_lane2-start,change_lane3_to_lane2-finish]",The target car plans to overtake but canceled the process and move back
19,video_19,19,0,0,0,0,16000,15000,17000,1,"[1000,4016,16000,16000]","[target_car_drives_60kph-start,the_red_car_behind_target_car_brakes-start,target_car_drives_60kph-finish,the_red_car_behind_target_car_brakes-finish]",The target car obeys the speed limit when the traffic flow drive at around 70
20,video_20,20,0,0,0,1,29000,28000,30000,2,"[10500,11033,11900,15000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,target_car_brakes-finish,pedestrian_crosses_the_road-finish]",The target car brakes abruptly to avoid collision with a pedestrian
21,video_21,0,1,0,1,0,36000,35000,37000,0,[],[],Baseline traffic situation of driving with ego vehicle as AV
22,video_22,1,1,0,1,0,33000,32000,34000,1,"[7050,9850,15166,15166,15166,27000]","[target_car_turns_on_indicator-start,target_car_lanechange-start,target_car_lanechange-finish,target_car_turns_on_indicator-finish,target_car_overtakes_ego_car-start,target_car_overtakes_ego_car-finish]",The ego car is overtaken by the target car from the inside
23,video_23,2,1,0,1,0,34000,33000,35000,1,"[1000,16200,16200,35000]","[target_car_approaching-start,target_car_approaching-finish,target_car_maintains_short_gap-start,target_car_maintains_short_gap-finish]",The target car tailgates the ego car
24,video_24,3,1,0,1,0,36000,35000,37000,2,"[11500,12816,13716,15716]","[red_car_brakes-start,target_car_brakes-start,red_car_brakes-finish,target_car_brakes-finish]",The target car brakes abruptly to avoid collision
25,video_25,4,1,0,1,0,38000,37000,39000,2,"[14333,16400]","[target_car_brakes-start,target_car_brakes-finish]",The target car brakes abruptly
26,video_26,5,1,0,1,0,35000,34000,36000,0,"[1000,9083,17000,17000,36000,36000]","[target_car_standstill-start,traffic_light_in_green-start,target_car_standstill-finish,target_car_starts-start,target_car_starts-finish,traffic_light_in_green_finish]",The target car starts late when traffic lights turn green
27,video_27,6,1,0,1,1,35000,34000,36000,0,"[1000,7250,9083,17000,17000,36000,36000,36000]","[target_car_standstill-start,pedestrian_waiting-start,traffic_light_in_green-start,target_car_standstill-finish,target_car_starts-start,target_car_starts-finish,traffic_light_in_green-finish,pedestrian_waiting-finish]",The target car starts late when traffic lights turn green with a pedestrian
28,video_28,7,1,0,1,0,25000,24000,26000,2,"[7050,10000,13633,15000]","[target_car_turns_on_indicator-start,target_car_cuts_off-start,target_car_turns_on_indicator-finish,target_car_cuts_off-finish]",The target car cuts off from the right lane
29,video_29,8,1,0,1,0,38000,37000,39000,1,"[7066,9000,11816,13000,13000,17500,17500,24000,24000,30500]","[target_car_indicator_on-start,change_lane1_to_lane2-start,target_car_indicator_on-finish,change_lane1_to_lane2-finish,change_lane2_to_lane3-start,change_lane2_to_lane3-finish,change_lane3_to_lane2-start,change_lane3_to_lane2-finish,change_lane2_to_lane1-start,change_lane2_to_lane1-finish]",The target car is zigzagging
30,video_30,9,1,0,1,0,24000,23000,25000,0,"[10616,12350]","[target_car_headlight_blinking-start,target_car_headlight_blinking-finish]",The target car flashes lights to the ego car
31,video_31,10,1,0,1,0,35000,34000,36000,1,"[1000,6033,24300,24300,28283,28283]","[target_cars_passing_by-start,ego_car_turns_on_indicator-start,target_cars_passing_by-finish,ego_car_lane_change-start,ego_car_turns_on_indicator-finish,ego_car_lane_change-finish]",The ego car’s changing lane is prevented by a platoon of AVs
32,video_32,11,1,0,1,0,31000,30000,32000,0,"[1000,11116]","[ego_car_approaches-start,ego_car_approaches-finish]",The target car drives slowly in front of the ego car
33,video_33,12,1,0,1,0,26000,25000,27000,0,"[8116,11750,16166,16166]","[target_car_turns_indicator_on-start,target_car_changes_lane3_to_lane2-start,target_car_changes_lane3_to_lane2-finish,target_car_turns_indicator_on-finish]",The target car changes lanes to let the ego car behind overtake
34,video_34,13,1,0,1,0,31000,30000,32000,0,"[10333,11500,14083,16250,18750,,"[target_car_turns_indicator_on-start,target_car_changes_lane2_to_lane3-start,target_car_turns_indicator_on-finish,target_car_changes_lane2_to_lane3-finish,target_car_goes_back_to_lane2-start,target_car_goes_back_to_lane2-finish]",The target car attempts to move from the centre to the left lane but goes back to the centre lane so as not to block an ego car behind
35,video_35,14,1,0,1,0,43000,42000,44000,0,"[14766,16300,22250,27016,28000,28000]","[ego_car_indicator_on-start,target_car_deceleration-start,ego_car_merge_lane-start,ego_car_indicator_on-finish,ego_car_merge_lane-finish,target_car_deceleration-finish]",The platoon of AVs lower the speed to let the ego car change lane
36,video_36,15,1,0,1,1,23000,22000,24000,1,"[1000,3100,4416,5750,7000,7750,13866,15250,24000,24000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,ego_car_brakes-start,target_car_brakes-finish,ego_car_brakes-finish,pedestrian_crosses_the_road-finish,target_car_starts-start,ego_car_starts-start,target_car_starts-finish,ego_car_starts-finish]",The target car is waiting for pedestrians to cross the road
37,video_37,16,1,0,1,0,24000,23000,25000,0,[],[],the target car follows its front car with a too large gap
38,video_38,17,1,0,1,0,36000,35000,37000,0,"[1000,1000,12000,18550,18550,18550,22250,25250,35000,36000]","[ego_car_approaches_intersection-start,traffic_lights_in_red-start,ego_car_approaches_intersection-finish,traffic_lights_in_red-finish,traffic_lights_in_green-start,target_car_passes_intersection-start,ego_car_pass_intersection-start,target_car_passes_intersection-finish,ego_car_pass_intersection-finish,traffic_lights_in_green-finish]",The target car passes the intersection exactly at the time when the light changes without deceleration
39,video_39,18,1,0,1,0,29000,28000,30000,0,"[8000,10333,11066,13500,15700,17500,17500,19666]","[target_car_indicator_on-start,ego_car_decelerates-start,ego_car_decelerates-finish,change_lane2_to_lane3-start,target_car_indicator_on-finish,change_lane2_to_lane3-finish,change_lane3_to_lane2-start,change_lane3_to_lane2-finish]",The target car plans to overtake but canceled the process and move back
40,video_40,19,1,0,1,0,16000,15000,17000,1,"[1000,4016,16000,16000]","[target_car_drives_60kph-start,the_red_car_behind_target_car_brakes-start,target_car_drives_60kph-finish,the_red_car_behind_target_car_brakes-finish]",The target car obeys the speed limit when the traffic flow drive at around 70
41,video_41,20,1,0,1,1,29000,28000,30000,2,"[10500,11033,11900,15000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,target_car_brakes-finish,pedestrian_crosses_the_road-finish]",The target car brakes abruptly to avoid collision with a pedestrian
42,video_42,0,2,1,0,0,36000,35000,37000,0,[],[],Baseline traffic situation of driving with ego vehicle as AV
43,video_43,1,2,1,0,0,33000,32000,34000,1,"[7050,9850,15166,15166,15166,27000]","[target_car_turns_on_indicator-start,target_car_lanechange-start,target_car_lanechange-finish,target_car_turns_on_indicator-finish,target_car_overtakes_ego_car-start,target_car_overtakes_ego_car-finish]",The ego car is overtaken by the target car from the inside
44,video_44,2,2,1,0,0,34000,33000,35000,1,"[1000,16200,16200,35000]","[target_car_approaching-start,target_car_approaching-finish,target_car_maintains_short_gap-start,target_car_maintains_short_gap-finish]",The target car tailgates the ego car
45,video_45,3,2,1,0,0,36000,35000,37000,2,"[11500,12816,13716,15716]","[red_car_brakes-start,target_car_brakes-start,red_car_brakes-finish,target_car_brakes-finish]",The target car brakes abruptly to avoid collision
46,video_46,4,2,1,0,0,38000,37000,39000,2,"[14333,16400]","[target_car_brakes-start,target_car_brakes-finish]",The target car brakes abruptly
47,video_47,5,2,1,0,0,35000,34000,36000,0,"[1000,9083,17000,17000,36000,36000]","[target_car_standstill-start,traffic_light_in_green-start,target_car_standstill-finish,target_car_starts-start,target_car_starts-finish,traffic_light_in_green_finish]",The target car starts late when traffic lights turn green
48,video_48,6,2,1,0,1,35000,34000,36000,0,"[1000,7250,9083,17000,17000,36000,36000,36000]","[target_car_standstill-start,pedestrian_waiting-start,traffic_light_in_green-start,target_car_standstill-finish,target_car_starts-start,target_car_starts-finish,traffic_light_in_green-finish,pedestrian_waiting-finish]",The target car starts late when traffic lights turn green with a pedestrian
49,video_49,7,2,1,0,0,25000,24000,26000,2,"[7050,10000,13633,15000]","[target_car_turns_on_indicator-start,target_car_cuts_off-start,target_car_turns_on_indicator-finish,target_car_cuts_off-finish]",The target car cuts off from the right lane
50,video_50,8,2,1,0,0,38000,37000,39000,1,"[7066,9000,11816,13000,13000,17500,17500,24000,24000,30500]","[target_car_indicator_on-start,change_lane1_to_lane2-start,target_car_indicator_on-finish,change_lane1_to_lane2-finish,change_lane2_to_lane3-start,change_lane2_to_lane3-finish,change_lane3_to_lane2-start,change_lane3_to_lane2-finish,change_lane2_to_lane1-start,change_lane2_to_lane1-finish]",The target car is zigzagging
51,video_51,9,2,1,0,0,24000,23000,25000,0,"[10616,12350]","[target_car_headlight_blinking-start,target_car_headlight_blinking-finish]",The target car flashes lights to the ego car
52,video_52,10,2,1,0,0,35000,34000,36000,1,"[1000,6033,24300,24300,28283,28283]","[target_cars_passing_by-start,ego_car_turns_on_indicator-start,target_cars_passing_by-finish,ego_car_lane_change-start,ego_car_turns_on_indicator-finish,ego_car_lane_change-finish]",The ego car’s changing lane is prevented by a platoon of AVs
53,video_53,11,2,1,0,0,31000,30000,32000,0,"[1000,11116]","[ego_car_approaches-start,ego_car_approaches-finish]",The target car drives slowly in front of the ego car
54,video_54,12,2,1,0,0,26000,25000,27000,0,"[8116,11750,16166,16166]","[target_car_turns_indicator_on-start,target_car_changes_lane3_to_lane2-start,target_car_changes_lane3_to_lane2-finish,target_car_turns_indicator_on-finish]",The target car changes lanes to let the ego car behind overtake
55,video_55,13,2,1,0,0,31000,30000,32000,0,"[10333,11500,14083,16250,18750,,"[target_car_turns_indicator_on-start,target_car_changes_lane2_to_lane3-start,target_car_turns_indicator_on-finish,target_car_changes_lane2_to_lane3-finish,target_car_goes_back_to_lane2-start,target_car_goes_back_to_lane2-finish]",The target car attempts to move from the centre to the left lane but goes back to the centre lane so as not to block an ego car behind
56,video_56,14,2,1,0,0,43000,42000,44000,0,"[14766,16300,22250,27016,28000,28000]","[ego_car_indicator_on-start,target_car_deceleration-start,ego_car_merge_lane-start,ego_car_indicator_on-finish,ego_car_merge_lane-finish,target_car_deceleration-finish]",The platoon of AVs lower the speed to let the ego car change lane
57,video_57,15,2,1,0,1,23000,22000,24000,1,"[1000,3100,4416,5750,7000,7750,13866,15250,24000,24000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,ego_car_brakes-start,target_car_brakes-finish,ego_car_brakes-finish,pedestrian_crosses_the_road-finish,target_car_starts-start,ego_car_starts-start,target_car_starts-finish,ego_car_starts-finish]",The target car is waiting for pedestrians to cross the road
58,video_58,16,2,1,0,0,24000,23000,25000,0,[],[],the target car follows its front car with a too large gap
59,video_59,17,2,1,0,0,36000,35000,37000,0,"[1000,1000,12000,18550,18550,18550,22250,25250,35000,36000]","[ego_car_approaches_intersection-start,traffic_lights_in_red-start,ego_car_approaches_intersection-finish,traffic_lights_in_red-finish,traffic_lights_in_green-start,target_car_passes_intersection-start,ego_car_pass_intersection-start,target_car_passes_intersection-finish,ego_car_pass_intersection-finish,traffic_lights_in_green-finish]",The target car passes the intersection exactly at the time when the light changes without deceleration
60,video_60,18,2,1,0,0,29000,28000,30000,0,"[8000,10333,11066,13500,15700,17500,17500,19666]","[target_car_indicator_on-start,ego_car_decelerates-start,ego_car_decelerates-finish,change_lane2_to_lane3-start,target_car_indicator_on-finish,change_lane2_to_lane3-finish,change_lane3_to_lane2-start,change_lane3_to_lane2-finish]",The target car plans to overtake but canceled the process and move back
61,video_61,19,2,1,0,0,16000,15000,17000,1,"[1000,4016,16000,16000]","[target_car_drives_60kph-start,the_red_car_behind_target_car_brakes-start,target_car_drives_60kph-finish,the_red_car_behind_target_car_brakes-finish]",The target car obeys the speed limit when the traffic flow drive at around 70
62,video_62,20,2,1,0,1,29000,28000,30000,2,"[10500,11033,11900,15000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,target_car_brakes-finish,pedestrian_crosses_the_road-finish]",The target car brakes abruptly to avoid collision with a pedestrian
63,video_63,0,3,1,1,0,36000,35000,37000,0,[],[],Baseline traffic situation of driving with ego vehicle as AV
64,video_64,1,3,1,1,0,33000,32000,34000,1,"[7050,9850,15166,15166,15166,27000]","[target_car_turns_on_indicator-start,target_car_lanechange-start,target_car_lanechange-finish,target_car_turns_on_indicator-finish,target_car_overtakes_ego_car-start,target_car_overtakes_ego_car-finish]",The ego car is overtaken by the target car from the inside
65,video_65,2,3,1,1,0,34000,33000,35000,1,"[1000,16200,16200,35000]","[target_car_approaching-start,target_car_approaching-finish,target_car_maintains_short_gap-start,target_car_maintains_short_gap-finish]",The target car tailgates the ego car
66,video_66,3,3,1,1,0,36000,35000,37000,2,"[11500,12816,13716,15716]","[red_car_brakes-start,target_car_brakes-start,red_car_brakes-finish,target_car_brakes-finish]",The target car brakes abruptly to avoid collision
67,video_67,4,3,1,1,0,38000,37000,39000,2,"[14333,16400]","[target_car_brakes-start,target_car_brakes-finish]",The target car brakes abruptly
68,video_68,5,3,1,1,0,35000,34000,36000,0,"[1000,9083,17000,17000,36000,36000]","[target_car_standstill-start,traffic_light_in_green-start,target_car_standstill-finish,target_car_starts-start,target_car_starts-finish,traffic_light_in_green_finish]",The target car starts late when traffic lights turn green
69,video_69,6,3,1,1,1,35000,34000,36000,0,"[1000,7250,9083,17000,17000,36000,36000,36000]","[target_car_standstill-start,pedestrian_waiting-start,traffic_light_in_green-start,target_car_standstill-finish,target_car_starts-start,target_car_starts-finish,traffic_light_in_green-finish,pedestrian_waiting-finish]",The target car starts late when traffic lights turn green with a pedestrian
70,video_70,7,3,1,1,0,25000,24000,26000,2,"[7050,10000,13633,15000]","[target_car_turns_on_indicator-start,target_car_cuts_off-start,target_car_turns_on_indicator-finish,target_car_cuts_off-finish]",The target car cuts off from the right lane
71,video_71,8,3,1,1,0,38000,37000,39000,1,"[7066,9000,11816,13000,13000,17500,17500,24000,24000,30500]","[target_car_indicator_on-start,change_lane1_to_lane2-start,target_car_indicator_on-finish,change_lane1_to_lane2-finish,change_lane2_to_lane3-start,change_lane2_to_lane3-finish,change_lane3_to_lane2-start,change_lane3_to_lane2-finish,change_lane2_to_lane1-start,change_lane2_to_lane1-finish]",The target car is zigzagging
72,video_72,9,3,1,1,0,24000,23000,25000,0,"[10616,12350]","[target_car_headlight_blinking-start,target_car_headlight_blinking-finish]",The target car flashes lights to the ego car
73,video_73,10,3,1,1,0,35000,34000,36000,1,"[1000,6033,24300,24300,28283,28283]","[target_cars_passing_by-start,ego_car_turns_on_indicator-start,target_cars_passing_by-finish,ego_car_lane_change-start,ego_car_turns_on_indicator-finish,ego_car_lane_change-finish]",The ego car’s changing lane is prevented by a platoon of AVs
74,video_74,11,3,1,1,0,31000,30000,32000,0,"[1000,11116]","[ego_car_approaches-start,ego_car_approaches-finish]",The target car drives slowly in front of the ego car
75,video_75,12,3,1,1,0,26000,25000,27000,0,"[8116,11750,16166,16166]","[target_car_turns_indicator_on-start,target_car_changes_lane3_to_lane2-start,target_car_changes_lane3_to_lane2-finish,target_car_turns_indicator_on-finish]",The target car changes lanes to let the ego car behind overtake
76,video_76,13,3,1,1,0,31000,30000,32000,0,"[10333,11500,14083,16250,18750,,"[target_car_turns_indicator_on-start,target_car_changes_lane2_to_lane3-start,target_car_turns_indicator_on-finish,target_car_changes_lane2_to_lane3-finish,target_car_goes_back_to_lane2-start,target_car_goes_back_to_lane2-finish]",The target car attempts to move from the centre to the left lane but goes back to the centre lane so as not to block an ego car behind
77,video_77,14,3,1,1,0,43000,42000,44000,0,"[14766,16300,22250,27016,28000,28000]","[ego_car_indicator_on-start,target_car_deceleration-start,ego_car_merge_lane-start,ego_car_indicator_on-finish,ego_car_merge_lane-finish,target_car_deceleration-finish]",The platoon of AVs lower the speed to let the ego car change lane
78,video_78,15,3,1,1,1,23000,22000,24000,1,"[1000,3100,4416,5750,7000,7750,13866,15250,24000,24000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,ego_car_brakes-start,target_car_brakes-finish,ego_car_brakes-finish,pedestrian_crosses_the_road-finish,target_car_starts-start,ego_car_starts-start,target_car_starts-finish,ego_car_starts-finish]",The target car is waiting for pedestrians to cross the road
79,video_79,16,3,1,1,0,24000,23000,25000,0,[],[],the target car follows its front car with a too large gap
80,video_80,17,3,1,1,0,36000,35000,37000,0,"[1000,1000,12000,18550,18550,18550,22250,25250,35000,36000]","[ego_car_approaches_intersection-start,traffic_lights_in_red-start,ego_car_approaches_intersection-finish,traffic_lights_in_red-finish,traffic_lights_in_green-start,target_car_passes_intersection-start,ego_car_pass_intersection-start,target_car_passes_intersection-finish,ego_car_pass_intersection-finish,traffic_lights_in_green-finish]",The target car passes the intersection exactly at the time when the light changes without deceleration
81,video_81,18,3,1,1,0,29000,28000,30000,0,"[8000,10333,11066,13500,15700,17500,17500,19666]","[target_car_indicator_on-start,ego_car_decelerates-start,ego_car_decelerates-finish,change_lane2_to_lane3-start,target_car_indicator_on-finish,change_lane2_to_lane3-finish,change_lane3_to_lane2-start,change_lane3_to_lane2-finish]",The target car plans to overtake but canceled the process and move back
82,video_82,19,3,1,1,0,16000,15000,17000,1,"[1000,4016,16000,16000]","[target_car_drives_60kph-start,the_red_car_behind_target_car_brakes-start,target_car_drives_60kph-finish,the_red_car_behind_target_car_brakes-finish]",The target car obeys the speed limit when the traffic flow drive at around 70
83,video_83,20,3,1,1,1,29000,28000,30000,2,"[10500,11033,11900,15000]","[pedestrian_crosses_the_road-start,target_car_brakes-start,target_car_brakes-finish,pedestrian_crosses_the_road-finish]",The target car brakes abruptly to avoid collision with a pedestrian
